voting_ID	date	time	title
1419332983	 23.12.2014	11:09:43	"Поіменне голосування  про поправку №18 народного депутата України Веселової Н.В.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419333101	 23.12.2014	11:11:41	"Поіменне голосування  про поправку №20 народного депутата України Крулька І.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419333186	 23.12.2014	11:13:06	"Поіменне голосування  про поправку №24 народного депутата України Веселової Н.В.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419333344	 23.12.2014	11:15:44	"Поіменне голосування  про поправку №26 народного депутата України Крулька І.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419333427	 23.12.2014	11:17:07	"Поіменне голосування  про поправку №27 народного депутата України Сироїд О.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419333538	 23.12.2014	11:18:58	"Поіменне голосування  про поправку №28 народного депутата України Сотник О.С.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419333708	 23.12.2014	11:21:48	"Поіменне голосування  про поправку №33 народного депутата України Крулька І.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419333858	 23.12.2014	11:24:18	"Поіменне голосування  про поправку №35 народного депутата України Крулька І.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
1419335004	 23.12.2014	11:43:24	"Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) - у другому читанні та в цілому"
1419335545	 23.12.2014	11:52:25	"Поіменне голосування  про повернення до розгляду проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1419335594	 23.12.2014	11:53:14	"Поіменне голосування  про направлення на повторне друге читання проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1419335711	 23.12.2014	11:55:11	Поіменне голосування  про розгляд за скороченою процедурою проекту Закону про внесення змін до деяких законів України (щодо забезпечення і гарантування національної безпеки України) (№1014) та проекту Закону про внесення змін до деяких законів України щодо відмови України від здійснення політики позаблоковості (№1014-3)
